Day,Impressions,"CPM (Cost per 1,000 Impressions)",Link Clicks,CTR (Link Click-Through Rate),CPC (Cost per Link Click),Amount Spent,Messaging Conversations Started,Checkouts Initiated,CTR_Calc (%),CPC_Calc,Revenue,ROI
9/22/2022,76,55.53,0,0,0,4.22,0,0,0,0,0,-1
9/22/2022,310,51.13,0,0,0,15.85,0,0,0,0,0,-1
9/22/2022,1340,25.62,6,0.45,5.72,34.33,0,0,0.447761194,5.721666667,0,-1
9/22/2022,1480,30.06,11,0.74,4.04,44.49,8,0,0.743243243,4.044545455,0,-1
9/22/2022,582,31.19,3,0.52,6.05,18.15,0,0,0.515463918,6.05,0,-1
9/22/2022,849,45.49,3,0.35,12.87,38.62,0,3,0.35335689,12.87333333,1500,37.83997929
9/22/2022,304,24.18,0,0,0,7.35,0,0,0,0,0,-1
9/22/2022,903,36.52,6,0.66,5.5,32.98,0,0,0.664451827,5.496666667,0,-1
9/22/2022,1225,16.91,1,0.08,20.72,20.72,0,0,0.081632653,20.72,0,-1
9/22/2022,1055,30.54,1,0.09,32.22,32.22,1,0,0.09478673,32.22,0,-1
9/22/2022,825,32.15,0,0,0,26.52,0,0,0,0,0,-1
9/22/2022,727,22.21,1,0.14,16.15,16.15,0,0,0.137551582,16.15,0,-1
9/22/2022,165,19.58,0,0,0,3.23,0,0,0,0,0,-1
9/22/2022,1025,35.73,6,0.59,6.1,36.62,0,0,0.585365854,6.103333333,0,-1
9/22/2022,339,20.32,0,0,0,6.89,0,0,0,0,0,-1
9/22/2022,310,25.39,3,0.97,2.62,7.87,0,0,0.967741935,2.623333333,0,-1
9/22/2022,1172,36.82,6,0.51,7.19,43.15,0,0,0.511945392,7.191666667,0,-1
9/22/2022,2575,10.57,7,0.27,3.89,27.21,1,0,0.27184466,3.887142857,0,-1
9/22/2022,236,36.44,2,0.85,4.3,8.6,0,0,0.847457627,4.3,0,-1
9/22/2022,19,26.32,0,0,0,0.5,0,0,0,0,0,-1
9/22/2022,198,23.23,1,0.51,4.6,4.6,0,0,0.505050505,4.6,0,-1
9/22/2022,1781,32.34,9,0.51,6.4,57.6,6,0,0.505334082,6.4,0,-1
9/22/2022,239,9.92,3,1.26,0.79,2.37,0,0,1.255230126,0.79,0,-1
9/22/2022,44,34.77,0,0,0,1.53,0,0,0,0,0,-1
9/22/2022,49,122.86,0,0,0,6.02,0,0,0,0,0,-1
9/22/2022,2843,30.25,11,0.39,7.82,86,0,1,0.38691523,7.818181818,500,4.813953488
9/22/2022,57,82.28,1,1.75,4.69,4.69,0,0,1.754385965,4.69,0,-1
9/23/2022,123,64.8,1,0.81,7.97,7.97,0,0,0.81300813,7.97,0,-1
9/23/2022,188,81.12,3,1.6,5.08,15.25,0,1,1.595744681,5.083333333,500,31.78688525
9/23/2022,201,69.6,0,0,0,13.99,1,0,0,0,0,-1
9/23/2022,1438,42,6,0.42,10.07,60.39,0,0,0.417246175,10.065,0,-1
9/23/2022,729,38.67,3,0.41,9.4,28.19,1,0,0.411522634,9.396666667,0,-1
9/23/2022,264,40.61,0,0,0,10.72,0,0,0,0,0,-1
9/23/2022,529,28.85,0,0,0,15.26,0,0,0,0,0,-1
9/23/2022,207,37.1,0,0,0,7.68,0,0,0,0,0,-1
9/23/2022,281,17.12,0,0,0,4.81,0,0,0,0,0,-1
9/23/2022,171,21.52,0,0,0,3.68,0,0,0,0,0,-1
9/23/2022,38,65.26,1,2.63,2.48,2.48,1,0,2.631578947,2.48,0,-1
9/23/2022,498,28.84,0,0,0,14.36,0,0,0,0,0,-1
9/23/2022,2089,33.67,11,0.53,6.39,70.33,3,0,0.526567736,6.393636364,0,-1
9/23/2022,114,48.42,1,0.88,5.52,5.52,0,0,0.877192982,5.52,0,-1
9/23/2022,254,41.22,0,0,0,10.47,0,0,0,0,0,-1
9/23/2022,102,48.73,0,0,0,4.97,0,0,0,0,0,-1
9/23/2022,1792,41.53,21,1.17,3.54,74.43,0,0,1.171875,3.544285714,0,-1
9/23/2022,56,42.68,1,1.79,2.39,2.39,0,0,1.785714286,2.39,0,-1
9/23/2022,284,50.11,0,0,0,14.23,0,0,0,0,0,-1
9/23/2022,488,30.35,4,0.82,3.7,14.81,0,0,0.819672131,3.7025,0,-1
9/23/2022,345,48.52,3,0.87,5.58,16.74,0,0,0.869565217,5.58,0,-1
9/23/2022,590,33.12,4,0.68,4.89,19.54,0,1,0.677966102,4.885,500,24.58853634
9/23/2022,112,42.77,0,0,0,4.79,0,0,0,0,0,-1
9/23/2022,169,41.72,0,0,0,7.05,0,0,0,0,0,-1
9/23/2022,223,26.28,1,0.45,5.86,5.86,0,0,0.448430493,5.86,0,-1
9/23/2022,84,47.14,0,0,0,3.96,0,0,0,0,0,-1
9/23/2022,941,45.72,6,0.64,7.17,43.02,0,0,0.637619554,7.17,0,-1
9/24/2022,52,66.15,0,0,0,3.44,0,0,0,0,0,-1
9/24/2022,163,80.06,0,0,0,13.05,1,0,0,0,0,-1
9/24/2022,131,82.21,2,1.53,5.39,10.77,2,1,1.526717557,5.385,500,45.42525534
9/24/2022,456,62.52,1,0.22,28.51,28.51,1,0,0.219298246,28.51,0,-1
9/24/2022,186,54.35,1,0.54,10.11,10.11,0,0,0.537634409,10.11,0,-1
9/24/2022,358,43.52,0,0,0,15.58,0,0,0,0,0,-1
9/24/2022,188,53.56,0,0,0,10.07,0,0,0,0,0,-1
9/24/2022,272,39.74,0,0,0,10.81,0,0,0,0,0,-1
9/24/2022,132,32.73,4,3.03,1.08,4.32,1,0,3.03030303,1.08,0,-1
9/24/2022,11,49.09,0,0,0,0.54,0,0,0,0,0,-1
9/24/2022,10,33,0,0,0,0.33,0,0,0,0,0,-1
9/24/2022,184,33.32,2,1.09,3.07,6.13,0,0,1.086956522,3.065,0,-1
9/24/2022,1275,39.99,10,0.78,5.1,50.99,2,1,0.784313725,5.099,500,8.805844283
9/24/2022,98,61.33,0,0,0,6.01,0,0,0,0,0,-1
9/24/2022,13,38.46,0,0,0,0.5,0,0,0,0,0,-1
9/24/2022,8,26.25,0,0,0,0.21,0,0,0,0,0,-1
9/24/2022,488,60.08,1,0.2,29.32,29.32,0,0,0.204918033,29.32,0,-1
9/24/2022,9,38.89,0,0,0,0.35,0,0,0,0,0,-1
9/24/2022,35,83.14,2,5.71,1.46,2.91,0,0,5.714285714,1.455,0,-1
9/24/2022,984,29.1,12,1.22,2.39,28.63,0,1,1.219512195,2.385833333,500,16.46419839
9/24/2022,118,33.39,2,1.69,1.97,3.94,0,0,1.694915254,1.97,0,-1
9/24/2022,1048,25.49,3,0.29,8.9,26.71,0,0,0.286259542,8.903333333,0,-1
9/24/2022,31,53.23,0,0,0,1.65,0,0,0,0,0,-1
9/24/2022,1190,23.8,1,0.08,28.32,28.32,0,0,0.084033613,28.32,0,-1
9/24/2022,178,19.27,0,0,0,3.43,0,0,0,0,0,-1
9/24/2022,150,17.93,1,0.67,2.69,2.69,0,0,0.666666667,2.69,0,-1
9/24/2022,736,31.43,6,0.82,3.86,23.13,0,0,0.815217391,3.855,0,-1
9/25/2022,28,84.29,0,0,0,2.36,0,0,0,0,0,-1
9/25/2022,73,100.55,0,0,0,7.34,0,0,0,0,0,-1
9/25/2022,88,89.09,1,1.14,7.84,7.84,0,0,1.136363636,7.84,0,-1
9/25/2022,485,76.19,11,2.27,3.36,36.95,6,0,2.268041237,3.359090909,0,-1
9/25/2022,231,61,0,0,0,14.09,0,0,0,0,0,-1
9/25/2022,355,52.45,2,0.56,9.31,18.62,1,0,0.563380282,9.31,0,-1
9/25/2022,159,65.72,0,0,0,10.45,0,0,0,0,0,-1
9/25/2022,208,57.88,0,0,0,12.04,0,0,0,0,0,-1
9/25/2022,148,26.96,1,0.68,3.99,3.99,0,0,0.675675676,3.99,0,-1
9/25/2022,8,38.75,0,0,0,0.31,0,0,0,0,0,-1
9/25/2022,5,46,0,0,0,0.23,0,0,0,0,0,-1
9/25/2022,114,49.39,1,0.88,5.63,5.63,0,0,0.877192982,5.63,0,-1
9/25/2022,926,48.17,9,0.97,4.96,44.61,1,0,0.971922246,4.956666667,0,-1
9/25/2022,9,40,0,0,0,0.36,0,0,0,0,0,-1
9/25/2022,1050,42.63,17,1.62,2.63,44.76,0,4,1.619047619,2.632941176,2000,43.68275246
9/25/2022,19,34.74,0,0,0,0.66,0,0,0,0,0,-1
9/25/2022,257,32.1,3,1.17,2.75,8.25,0,0,1.167315175,2.75,0,-1
9/25/2022,49,31.43,0,0,0,1.54,0,0,0,0,0,-1
9/25/2022,239,40.21,0,0,0,9.61,0,0,0,0,0,-1
9/25/2022,124,23.55,0,0,0,2.92,0,0,0,0,0,-1
9/25/2022,181,31.93,2,1.1,2.89,5.78,0,0,1.104972376,2.89,0,-1
